Adrar;Adrar;1
Tamest;Adrar;1
Reggane;Adrar;1
inzghmir;Adrar;1
Tit;Adrar;1
Tsabit;Adrar;1
Zaouiet Kounta;Adrar;1
Aoulef;Adrar;1
Tamekten;Adrar;1
Tamantit;Adrar;1
Fenoughil;Adrar;1
Sali;Adrar;1
Akabli;Adrar;1
Ouled Ahmed Tammi;Adrar;1
Bouda;Adrar;1
Sebaa;Adrar;1
Chlef;Chlef;2
Ténès;Chlef;2
Bénairia;Chlef;2
El Karimia;Chlef;2
Tadjena;Chlef;2
Taougrite;Chlef;2
Beni Haoua;Chlef;2
Sobha;Chlef;2
Harchoun;Chlef;2
Ouled Fares;Chlef;2
Sidi Akkacha;Chlef;2
Boukadir;Chlef;2
Beni Rached;Chlef;2
Talassa;Chlef;2
Harenfa;Chlef;2
Oued Goussine;Chlef;2
Dahra;Chlef;2
Ouled Abbes;Chlef;2
Sendjas;Chlef;2
Zeboudja;Chlef;2
Oued Sly;Chlef;2
Abou El Hassan;Chlef;2
El Marsa;Chlef;2
Chettia;Chlef;2
Sidi Abderrahmane;Chlef;2
Moussadek;Chlef;2
El Hadjadj;Chlef;2
Labiod Medjadja;Chlef;2
Oued Fodda;Chlef;2
Ouled Ben Abdelkader;Chlef;2
Bouzeghaia;Chlef;2
Aïn Merane;Chlef;2
Oum Drou;Chlef;2
Breira;Chlef;2
Beni Bouateb;Chlef;2
Laghouat;Laghouat;3
Ksar El Hirane;Laghouat;3
Bennasser Benchohra;Laghouat;3
Sidi Makhlouf;Laghouat;3
Hassi Delaa;Laghouat;3
Hassi R'Mel;Laghouat;3
Aïn Madhi;Laghouat;3
Tadjemout;Laghouat;3
Kheneg;Laghouat;3
Gueltat Sidi Saad;Laghouat;3
Aïn Sidi Ali;Laghouat;3
Beidha;Laghouat;3
Brida;Laghouat;3
El Ghicha;Laghouat;3
Hadj Mechri;Laghouat;3
Sebgag;Laghouat;3
Taouiala;Laghouat;3
Tadjrouna;Laghouat;3
Aflou;Laghouat;3
El Assafia;Laghouat;3
Oued Morra;Laghouat;3
Oued M'Zi;Laghouat;3
El Houaita;Laghouat;3
Sidi Bouzid;Laghouat;3
Oum el Bouaghi;Oum El Bouaghi;4
Aïn Beïda;Oum El Bouaghi;4
Aïn M'lila;Oum El Bouaghi;4
Behir Chergui;Oum El Bouaghi;4
El Amiria;Oum El Bouaghi;4
Sigus;Oum El Bouaghi;4
El Belala;Oum El Bouaghi;4
Aïn Babouche;Oum El Bouaghi;4
Berriche;Oum El Bouaghi;4
Ouled Hamla;Oum El Bouaghi;4
Dhalaa;Oum El Bouaghi;4
Aïn Kercha;Oum El Bouaghi;4
Hanchir Toumghani;Oum El Bouaghi;4
El Djazia;Oum El Bouaghi;4
Aïn Diss;Oum El Bouaghi;4
Fkirina;Oum El Bouaghi;4
Souk Naamane;Oum El Bouaghi;4
Zorg;Oum El Bouaghi;4
El Fedjoudj Boughrara Saoudi;Oum El Bouaghi;4
Ouled Zouaï;Oum El Bouaghi;4
Bir Chouhada;Oum El Bouaghi;4
Ksar Sbahi;Oum El Bouaghi;4
Oued Nini;Oum El Bouaghi;4
Meskiana;Oum El Bouaghi;4
Aïn Fakroun;Oum El Bouaghi;4
Rahia;Oum El Bouaghi;4
Aïn Zitoun;Oum El Bouaghi;4
Ouled Gacem;Oum El Bouaghi;4
El Harmilia;Oum El Bouaghi;4
Batna;Batna;5
Ghassira;Batna;5
Maafa;Batna;5
Merouana;Batna;5
Seriana;Batna;5
Menaa;Batna;5
El Madher;Batna;5
Tazoult;Batna;5
N'Gaous;Batna;5
Guigba;Batna;5
Inoughissen;Batna;5
Ouyoun El Assafir;Batna;5
Djerma;Batna;5
Bitam;Batna;5
Abdelkader Azil;Batna;5
Arris;Batna;5
Kimmel;Batna;5
Tilatou;Batna;5
Aïn Djasser;Batna;5
Ouled Sellam;Batna;5
Tigherghar;Batna;5
Aïn Yagout;Batna;5
Sefiane;Batna;5
Fesdis;Batna;5
Rahbat;Batna;5
Tighanimine;Batna;5
Lemsane;Batna;5
Ksar Bellezma;Batna;5
Seggana;Batna;5
Ichmoul;Batna;5
Foum Toub;Batna;5
Ben Foudhala El Hakania;Batna;5
Oued El Ma;Batna;5
Talkhamt;Batna;5
Bouzina;Batna;5
Chemora;Batna;5
Oued Chaaba;Batna;5
Taxlent;Batna;5
